filer_ein,filer_name,receipt_amt,govt_amt,contrib_amt,tax_year,xml_name
910667886,PACIFIC NORTHWEST RESEARCH INSTITUTE,5662529,3889071,1273382,2022,202432929349301238
454819374,BNOS ESTHER MALKA INC,5621840,998956,401643,2022,202402889349302030
942476147,SALT LAKE CITY ROTARY FOUNDATION,1893309,0,1269705,2022,202442939349300304
381913233,MIDLAND AREA HOMES INC,1229187,404330,335054,2022,202432749349301008
270536467,GSH INC,1981761,1908095,12241,2022,202402769349300840
742667761,HABITAT FOR HUMANITY INTL COMAL COUNTY,1354098,0,767649,2022,202432759349300718
461339323,One Backpack Inc,251934,0,251934,2022,202412769349301501
581532066,Care of Savannah Inc,781878,691522,7838,2022,202402989349301860
470734114,CENTER FOR SEXUAL ASSAULT AND,892247,713124,178086,2022,202442779349301329
850806001,CONNECTED TO LEAD,414416,0,414404,2022,202402979349301965
610498423,FRANKLIN COUNTY HUMANE SOCIETY INC,2078824,167448,1399269,2022,202412959349300626
480729273,RIVERSIDE RESOURCES INC,2117911,369141,807,2022,202402969349301855
376018727,ILLINOIS STATE MUSEUM SOCIETY,1253422,254706,398251,2022,202412859349301621
455441381,RESTORE JUSTICE FOUNDATION,3061293,604345,2193268,2022,202402839349302050
951582650,LOS ANGELES ARBORETUM FOUNDATION INC,10025639,288405,2416281,2022,202402989349301505
223278797,THE FRIENDS OF THE MIDDLESEX FELLS,2729373,60000,2411256,2022,202412859349300701
596194457,HILLEL AT FSU FOUNDATION INC,555001,0,498892,2022,202402959349300040
752098992,MARTIN LUTHER KING JR FAMILY C,11339437,5910671,0,2022,202402899349301815
262118750,NAMI WESTSIDE LA,1433659,528621,593685,2022,202422839349301857
954572960,THE FERRY FAMILY CHARITABLE FOUNDATION,3750126,0,1404363,2022,202412829349301131
431218720,FAIR SAINT LOUIS FOUNDATION,473122,0,388530,2022,202412859349301746
980684822,Jays Care Foundation,19853828,0,3701379,2022,202402889349301875
350898393,ASSOCIATION FOR CHRISTIAN INSTRUCTION,7762741,827499,2110372,2022,202422989349301762
812302571,EL PORVENIR CHRISTIAN CAMP &,363181,0,274247,2022,202422889349302177
237337608,VOLUNTEER SERVICES COUNCIL FOR,545114,0,493102,2022,202422819349301007
310644290,OHIO COUNTIES & INDEPENDENT,1368968,359626,11983,2022,202422899349301717
872042845,ENDAZHI-NITAAWIGING CHARTER SCHOOL,1276724,635646,621078,2022,202402849349301010
953298228,PILGRIM TOWER EAST,3844775,2958584,0,2022,202422819349300627
760297121,THE VARNETT SCHOOLS INC,18212008,17826910,40000,2022,202432959349300423
203195935,ORGANIZATION FOR YOUTH EMPOWERMENT,665522,0,663274,2022,202442829349301209
833496361,FRONT LINE FARMING,4293188,1576215,2493834,2022,202442839349300519
222578187,ST JUDE HOUSING CORPORATION,960796,315165,6434,2022,202422839349301532
814690798,NETZACH YAAKOV,552377,0,552377,2022,202422759349301802
521516829,TRI-STATE COMMUNITY HEALTH CENTER,14613587,4124956,25085,2022,202442899349302044
716059226,ARKANSAS WILDLIFE FEDERATION INC,645693,281800,160771,2022,202442929349300619
344445804,HANCOCK COUNTY AGRICULTURAL SOCIETY,1491328,0,250422,2022,202432899349301533
566065297,MACON PROGRAM FOR PROGRESS INC,7554110,7084987,357861,2022,202432779349301508
752113670,CROSS TIMBERS HEALTH CLINICS INC,20526871,0,8765327,2022,202442899349301789
237156215,White County Senior Citizen,665794,475438,109756,2022,202402719349300235
952648050,SAN DIEGO YOUTH SERVICES,22513921,17949830,370789,2022,202442839349300444
750108632,NATIONAL SKEET SHOOTING ASSOCIATION INC,15126161,0,1478412,2022,202422899349301337
263234710,ORPHAN RELIEF AND RESCUE INC,929271,0,928626,2022,202422779349301882
853329449,SANTA BARBARA AGRICULTURAL & FARM,618526,0,298966,2022,202412989349301146
730679351,WESTVIEW BOYS HOME INC,2293629,0,1898274,2022,202422839349301112
831441257,COMMUNITY DEVELOPMENT PROJECT INC,7431403,6071643,1359760,2022,202402859349301125
411354670,HOPE CENTER,552610,446568,101009,2022,202412899349302571
942778565,Project Ride Inc,1080677,11800,528435,2022,202412899349302271
471833911,BELLOSGUARDO FOUNDATION INC,644597,0,286190,2022,202422779349301422
364075641,THE BOULEVARD OF CHICAGO INC,5150377,2597618,920818,2022,202442839349300249
316060325,KNOX COUNTY AGRICULTURAL SOCIETY IN,986549,269160,93928,2022,202402899349301915
410758512,MADELIA HEALTH,18159647,384320,24587,2022,202402909349301315
260483848,N1 FOUNDATION,912520,60000,326232,2022,202442889349300944
640781871,HATTIESBURG AREA HABITAT FOR HUMANITY,840511,0,744012,2022,202412779349300006
750994576,Diboll Boosters Club Inc,1034113,548381,205205,2022,202422819349301422
910896701,COLUMBIA BASIN HEALTH ASSOCIATION,128515082,12162317,5542782,2022,202402749349301065
943081554,EAST BAY PERFORMING ARTS,3348089,534065,1834703,2022,202442779349300729
854312784,COLORADO SPRINGS COMMUNITY CULTURE,2382005,0,1997193,2022,202412969349301676
311705913,UCUCC CHILD CARE PROGRAMS,1423984,217980,50973,2022,202402829349301920
640440578,MISSISSIPPI ACTION FOR,78850872,78850872,0,2022,202402819349302010
871540566,MARY S PEAKE FELLOWSHIP INC,1824242,0,1824242,2022,202442839349302264
043766364,COMMUNITY HEALTH CONNECTION INC,15036964,4302890,1986975,2022,202432869349300513
273046842,Troops Direct,2901840,0,2235558,2022,202422759349301852
630861073,PERDIDO BEACH VOLUNTEER FIRE DEPT,308300,275232,0,2022,202412899349300646
562627256,CHASDEI YISROEL INC,3172163,0,3146309,2022,202432889349300323
371368038,SHAWNEE RESOURCE CONSERVATION & DEVELOPEMENT,327880,323803,2159,2022,202432729349300108
942702203,Auction Napa Valley,9383774,0,3201303,2022,202402859349301930
852098341,SOUND START FOUNDATION,772368,0,490311,2022,202402909349301485
561205213,First Choice Community Health Ctrs,5446110,4394849,0,2022,202422859349301037
752678804,NORTHWEST ISD EDUCATION FOUNDATION,1740038,0,422435,2022,202432969349301778
112395258,CHILD DEVELOPMENT SUPPORT CORPORATION,4699305,4090651,200000,2022,202402819349301610
942494728,AFRICAN AMERICAN COMMUNITY SERVICE,3146004,1149745,1887075,2022,202442979349302034
813967795,Cops Direct,634421,0,634364,2022,202422919349300637
942764262,MARPLE MANOR INC,22429074,508051,0,2022,202422839349301957
431298527,ALIVE INC,1854109,1373318,293028,2022,202402899349302570
