# Non-state 'UNIVERSITY OF ...' patterns (8,646 entries)
# Sorted by total donation amount (descending)
# Format: NAME	COUNT	TOTAL_DONATIONS

SOKOINE UNIVERSITY OF AGRICULTURE	8	16403340.0
UNIVERSITY OF REDLANDS	412	16388932.0
UNIVERSITY OF NEW HAVEN	414	16261282.0
UNIVERSITY OF NORTHWESTERN - ST PAUL	92	16174870.0
University Of Chicago	38	15975650.0
COLLEGE OF MEDICINE OF THE UNIVERSITY OF LAGOS	14	15973902.0
UNIVERSITY OF MISSOURIKANSAS CITY	16	15927626.0
UNIVERSITY OF CHICAGO MEDICIN	28	15824658.0
University of Cape Town	92	15712326.0
VANGUARD UNIVERSITY OF SO CA	64	15625294.0
University of Central Arkansas Foundation Inc	22	15442836.0
NATIONAL UNIVERSITY OF SINGAPORE	36	15007322.0
RUTGERS THE STATE UNIVERSITY OF NJ	266	14776676.0
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY	58	14750976.0
UNIVERSITY OF READING	10	14706984.0
UNIVERSITY OF DALLAS	396	14491190.0
University of Notre Dame du Lac	54	14361180.0
Loyola University of Chicago	132	14310040.0
UNIVERSITY OF LOUISVILLE RESEARCH FOUNDATION	80	14255660.0
University of MA Medical School	4	14210780.0
KANSAS CITY UNIVERSITY OF MEDICINE & BIOSCIENCES	6	14024000.0
UNIVERSITY OF NORTH FLORIDA	344	13847612.0
REGENTS UNIVERSITY OF CALIF	12	13809514.0
UNIVERSITY OF TAMPA	404	13581850.0
AMERICAN UNIVERSITY OF CENTRAL ASIA	16	13472946.0
UNIVERSITY OF LOUISVILLE RESEARCH FOUNDATION INC	84	13446998.0
FRIENDS OF THE UNIVERSITY OF NOTRE DAME INC	24	13408810.0
UNIVERSITY OF NEW ENGLAND	374	13282654.0
UNIVERSITY OF MELBOURNE	30	13281916.0
UNIVERSITY OF MIAMI OFFICE OF RESEARCH ADMINISTRATION	12	13176994.0
UNIVERSITY OF NC AT CHAPEL HILL	92	12928854.0
UNIVERSITY OF NAIROBI	28	12861934.0
UNIVERSITY OF THE CUMBERLANDS	396	12859108.0
UNIVERSITY OF LEEDS	36	12767544.0
UNIVERSITY OF CENTRAL FLORIDA FOUNDATION	102	12742242.0
UNIVERSITY OF AKRON	350	12709318.0
THE GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO	32	12624126.0
UNIVERSITY OF NEW ORLEANS	174	12569814.0
Temple University of the Commonwealth of Higher Education	6	12531386.0
THE UNIVERSITY OF NOTRE DAME	30	12489000.0
THE CHANCELLORS MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD	2	12451382.0
UNIVERSITY OF SOUTHERN MAINE FOUNDATION	146	12430490.0
UNIVERSITY OF SCRANTON	490	12339398.0
BOSTON UNIVERSITY OFFICE OF FINANCIAL AFFAIRS	2	12328082.0
University Of Miami	22	11907252.0
THE CHINESE UNIVERSITY OF HONG KONG	22	11842192.0
